file,simtime,bgcells,bgstims,SpinyStellate,DeepBasket,DeepLTS,DeepAxoaxonic,SupPyrRS,SupPyrFRB,SupLTS,SupBasket,SupAxoaxonic,TCR,nRT,TuftedIB,TuftedRS,NontuftedRS
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_28/data_20120228_175456_20931.h5,10.0,20,9,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_24/data_20121124_162657_9363.h5,20.0,10,13,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_12/data_20120712_121129_32274.h5,55.0,5,39,240,30,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_12/data_20120712_121129_32275.h5,55.0,5,39,240,30,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_12/data_20120712_121129_32273.h5,55.0,5,39,240,30,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_02_15/data_20130215_121004_16857.h5,0.1,5,0,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_14/data_20121114_091030_2716.h5,20.0,5,18,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_26/data_20120326_093746_5495.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_26/data_20120326_093750_5589.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_26/data_20120326_093747_5518.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_26/data_20120326_093748_5541.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_26/data_20120326_093749_5564.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_02/data_20120402_154317_2914.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_02/data_20120402_154318_2943.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_02/data_20120402_154316_2855.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_02/data_20120402_154315_2851.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_02/data_20120402_154315_2853.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_25/data_20120125_131456_16525.h5,10.0,20,24,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_25/data_20120125_131455_16498.h5,10.0,20,24,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_25/data_20120125_131449_16448.h5,10.0,20,24,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_25/data_20120125_131453_16471.h5,10.0,20,24,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_07_30/data_20120730_150206_20338.h5,15.0,2,9,240,100,0,0,100,5,9,9,9,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_30/data_20120430_112234_16352.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_30/data_20120430_112235_16381.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_30/data_20120430_112240_16481.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_30/data_20120430_112233_16317.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_18/data_20120118_142820_7865.h5,10.0,20,14,240,0,0,0,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_04/data_20120404_093409_14316.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_04/data_20120404_093410_14339.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_04/data_20120404_093408_14277.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_04/data_20120404_093411_14379.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_04/data_20120404_093406_14222.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_01_07/data_20130107_175609_8221.h5,20.0,15,18,240,0,0,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_12_21/data_20121221_151958_9665.h5,20.0,15,14,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_10_14/data_20121014_184919_28619.h5,20.0,5,24,240,50,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_10/data_20120210_153833_7522.h5,10.0,20,9,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_10/data_20120210_153047_7156.h5,10.0,20,18,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_08_25/data_20120825_154857_25535.h5,20.0,5,15,240,60,0,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_09_04/data_20120904_080805_15393.h5,20.0,5,15,240,0,60,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_12_26/data_20121226_095623_17407.h5,20.0,0,16,240,0,0,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_07/data_20121107_100729_29479.h5,20.0,5,18,240,50,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_09_29/data_20120929_184651_17981.h5,20.0,5,20,240,30,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_28/data_20120128_120809_21820.h5,5.0,10,44,25,10,0,10,0,0,0,0,0,10,10,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_28/data_20120128_120931_21882.h5,5.0,10,35,25,10,0,10,0,0,0,0,0,10,10,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_13/data_20120313_195423_10961.h5,10.0,20,4,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_13/data_20120313_195424_10984.h5,10.0,20,4,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_03_13/data_20120313_195421_10938.h5,10.0,20,4,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_01_12/data_20130112_093358_3354.h5,20.0,15,21,240,0,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_03_07/data_20130307_105110_5837.h5,20.0,5,9,240,30,10,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_03_05/data_20130305_171638_2787.h5,20.0,5,7,240,30,10,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2013_01_21/data_20130121_150010_15584.h5,20.0,20,14,240,60,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_10_03/data_20121003_091501_19886.h5,20.0,5,15,240,40,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_02_16/data_20120216_172956_12356.h5,10.0,20,9,240,100,100,100,0,0,0,0,0,100,100,800,200,500
/data/subha/rsync_ghevar_cortical_data_clone/2012_12_28/data_20121228_091024_22059.h5,20.0,0,18,240,0,0,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_11_12/data_20121112_112211_685.h5,20.0,5,17,240,50,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_06/data_20120406_120014_29860.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_06/data_20120406_120022_30039.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_06/data_20120406_120020_30001.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_06/data_20120406_120018_29940.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_04_06/data_20120406_120019_29963.h5,10.0,20,7,240,100,100,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_10_06/data_20121006_081815_23857.h5,20.0,5,23,240,40,30,0,0,0,0,0,0,100,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_154949_9699.h5,2.0,10,3,10,10,0,5,0,0,0,0,0,10,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_201036_10692.h5,10.0,20,36,240,100,0,100,0,0,0,0,0,100,100,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_142810_9255.h5,2.0,10,0,10,10,0,5,0,0,0,0,0,10,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_174542_9978.h5,2.0,10,3,10,10,0,5,0,0,0,0,0,10,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_135900_9148.h5,10.0,20,14,20,0,0,0,0,0,0,0,0,20,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_151418_9430.h5,2.0,10,3,10,10,0,5,0,0,0,0,0,10,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_182324_10111.h5,2.0,10,3,10,10,0,5,0,0,0,0,0,10,0,0,0,0
/data/subha/rsync_ghevar_cortical_data_clone/2012_01_19/data_20120119_173205_9886.h5,2.0,10,3,10,10,0,5,0,0,0,0,0,10,0,0,0,0
